GENOME_TERRITORY,MEAN_COVERAGE,SD_COVERAGE,MEDIAN_COVERAGE,MAD_COVERAGE,PCT_EXC_MAPQ,PCT_EXC_DUPE,PCT_EXC_UNPAIRED,PCT_EXC_BASEQ,PCT_EXC_OVERLAP,PCT_EXC_CAPPED,PCT_EXC_TOTAL,PCT_1X,PCT_5X,PCT_10X,PCT_15X,PCT_20X,PCT_25X,PCT_30X,PCT_40X,PCT_50X,PCT_60X,PCT_70X,PCT_80X,PCT_90X,PCT_100X,HET_SNP_SENSITIVITY,HET_SNP_Q,ID,cohort,library,condition
2864957046,30.921498,9.941654,31,5,0.076087,0.401343,3.88E-04,0.010243,0.050155,0.00753,0.545746,0.983786,0.979452,0.975269,0.968585,0.942005,0.832734,0.589462,0.112028,0.011235,0.004187,0.002805,0.002099,0.001666,0.001352,0.980486,17,CTF032_WBCs_544,2,remove_sensitive,germline
2864957046,32.840624,13.786296,32,7,0.072217,0.461901,3.00E-04,0.008446,0.03354,0.007708,0.584114,0.983641,0.979186,0.970373,0.94082,0.886647,0.768311,0.587634,0.258811,0.080707,0.030822,0.010257,0.003532,0.00209,0.001631,0.979608,17,CTF033_CMMCs_755,2,remove_sensitive,tumor
2864957046,18.864956,6.996512,19,3,0.063199,0.603985,1.95E-04,0.005041,0.02192,0.00515,0.699489,0.983083,0.977167,0.960045,0.822914,0.446046,0.123764,0.020075,0.002947,0.00192,0.0014,0.001057,8.40E-04,6.86E-04,5.64E-04,0.976257,16,CTF033_WBCs_275,2,remove_sensitive,germline
2864957046,19.607374,9.486647,19,5,0.059335,0.136474,9.29E-04,0.02186,0.024881,0.014362,0.257841,0.988222,0.977206,0.916215,0.727964,0.44864,0.231739,0.110503,0.023289,0.005593,0.00224,0.001406,0.001049,8.33E-04,6.79E-04,0.974331,16,CTF034_BMPCs_16800,2,remove_sensitive,tumor
2864957046,46.998367,17.483316,45,9,0.075943,0.39984,4.06E-04,0.010578,0.043251,0.008237,0.538255,0.989711,0.986119,0.982993,0.976295,0.958114,0.93249,0.898581,0.690718,0.381161,0.193606,0.081215,0.030426,0.012336,0.005476,0.986908,19,CTF034_CMMCs_654,2,remove_sensitive,tumor
2864957046,20.643325,8.553627,20,4,0.055515,0.143528,8.49E-04,0.021627,0.016507,0.012893,0.250919,0.988812,0.98101,0.944222,0.821318,0.552002,0.266426,0.098421,0.009759,0.002742,0.001814,0.001357,0.001066,8.68E-04,7.24E-04,0.979085,17,CTF034_WBCs_5800,2,remove_sensitive,germline
2864957046,14.662469,7.368476,14,4,0.07698,0.635883,1.46E-04,0.003872,0.019281,0.005483,0.741646,0.987969,0.963717,0.810796,0.462418,0.192592,0.064074,0.017468,0.002621,0.001637,0.001208,0.00093,7.26E-04,5.72E-04,4.67E-04,0.961749,14,CTF035_CMMCs_184,2,remove_sensitive,tumor
2864957046,52.568604,17.499504,52,9,0.06216,0.173377,5.24E-04,0.017288,0.075609,0.011084,0.340042,0.990158,0.986942,0.984283,0.980663,0.971477,0.953353,0.929972,0.838931,0.591611,0.296219,0.113254,0.037616,0.013656,0.006892,0.987705,19,CTF035_WBCs_5619,2,remove_sensitive,germline
2864957046,45.588902,19.220658,44,9,0.049351,0.212742,7.43E-04,0.018881,0.01699,0.010325,0.309033,0.985081,0.98058,0.976686,0.966408,0.937422,0.895263,0.847192,0.636991,0.335543,0.176446,0.100067,0.053455,0.026073,0.01053,0.981318,17,CTF036_BMPCs_49k,2,remove_sensitive,tumor
2864957046,17.346444,8.434755,17,4,0.067759,0.606128,2.01E-04,0.00478,0.023838,0.005534,0.70824,0.982882,0.966801,0.876459,0.641484,0.325437,0.146217,0.065374,0.008958,0.001849,0.001156,8.26E-04,6.16E-04,4.89E-04,4.12E-04,0.965153,15,CTF036_CMMCs_286,2,remove_sensitive,tumor
2864957046,8.257732,4.533389,8,2,0.089035,0.669084,1.33E-04,0.003131,0.013221,0.004562,0.779166,0.985869,0.880757,0.330512,0.029015,0.003147,0.001754,0.001261,7.51E-04,4.89E-04,3.63E-04,2.98E-04,2.55E-04,2.23E-04,2.02E-04,0.890042,10,CTF036_WBCs_102,2,remove_sensitive,germline
2864957046,11.138915,5.154404,11,2,0.067828,0,6.07E-04,0.016211,0.204067,0.011745,0.300458,0.980515,0.959527,0.673296,0.168807,0.015616,0.003104,0.00201,0.001189,7.89E-04,5.53E-04,4.20E-04,3.47E-04,2.99E-04,2.63E-04,0.965836,15,P190_WBCs_213,2,remove_sensitive,germline
